KD_OBAT,NAMA,Category,Subcategory,BrandGroup,Manufacturer
AI-1021,Onetic 8 mg/4 ml,Injectables & Hospital Care,Vial/Injection,Onetic,Prat
AI-1022,Onzapin 10 mg,General Medicine,Other,Onzapin,Acta
AI-1023,Onzapin 5 mg,General Medicine,Other,Onzapin,Acta
AI-1024,Orixal 500 mg,General Medicine,Tablet,Orixal,Ifar
AI-1025,Orsaderm 0,General Medicine,Other,Orsaderm,tube
AI-1026,Oscal 0,General Medicine,Other,Oscal,Dank
AI-1027,Osfit 625 mg,Vitamins & Supplements,Other,Osfit,Tab
AI-1028,Osteocal 500 mg,General Medicine,Tablet,Osteocal,Nich
AI-1029,Ostriol 0,General Medicine,Other,Ostriol,Prat
AI-1030,Otopain 8ml,General Medicine,Bottle/Liquid,Otopain,Intr
AI-1031,Otsu - D5 5%,General Medicine,Bottle/Liquid,Otsu,Otsu
AI-1032,Otsu - KCl. 7,General Medicine,Other,Otsu,vial
AI-1033,Otsu Manitol 20%,General Medicine,Bottle/Liquid,Otsu,Otsu
AI-1034,Otsu NS 0,General Medicine,Other,Otsu,btl
AI-1035,Otsu RL 500 ml,General Medicine,Bottle/Liquid,Otsu,Otsu
AI-1036,Otsu Water Inj 25 ml,Injectables & Hospital Care,Vial/Injection,Otsu,Otsu
AI-1037,Otsu-D2,General Medicine,Other,Otsu,"45%,"
AI-1038,Otsu-D40 40%,General Medicine,Bottle/Liquid,Otsu,Otsu
AI-1039,Otsu-D5 NS 500 ml,General Medicine,Bottle/Liquid,Otsu,Otsu
AI-1040,Otsu-MgSO4 20%,Injectables & Hospital Care,Vial/Injection,Otsu,Otsu
AI-1041,Otsu-MgSO4 40%,Injectables & Hospital Care,Vial/Injection,Otsu,Otsu
AI-1042,Oxaliplatin 100 mg,Oncology & Specialty,Vial/Injection,Oxaliplatin,Acta
AI-1043,Oxaliplatin 50 mg,Oncology & Specialty,Vial/Injection,Oxaliplatin,Acta
AI-1044,Oxybiotic 500 mg/ml,Injectables & Hospital Care,Vial/Injection,Oxybiotic,Bern
AI-1045,Oxytetracyclin 1 %,General Medicine,Other,Oxytetracyclin,tube
AI-1046,Ozid-G iv 40 mg,Injectables & Hospital Care,Vial/Injection,Ozid,Dava
AI-1047,P Pred 10 mg/0,General Medicine,Other,P,Cend
AI-1048,Paclitaxel 30 mg/vial,Oncology & Specialty,Vial/Injection,Paclitaxel,Sanb
AI-1049,Pamol 120 mg/5ml,General Medicine,Bottle/Liquid,Pamol,Intr
AI-1050,Pamol Supp 125 mg,General Medicine,Other,Pamol,Intr
AI-1051,Pan Amin G 500 ml,General Medicine,Bottle/Liquid,Pan,Otsu
AI-1052,Pankuronium 2 mg/ml,Injectables & Hospital Care,Vial/Injection,Pankuronium,Aptk
AI-1053,Pantocain 0,General Medicine,Other,Pantocain,Unknown
AI-1054,Pantoprazole 40 mg ,Gastrointestinal,Vial/Injection,Pantoprazole,Soho
AI-1055,Paracetamol 100 mg/ml-SALAH,Pain Relief & Inflammation,Bottle/Liquid,Paracetamol,Infa
AI-1056,Paracetamol 120 mg/5ml,Pain Relief & Inflammation,Bottle/Liquid,Paracetamol,Phyt
AI-1057,Paracetamol 500 mg,Pain Relief & Inflammation,Tablet,Paracetamol,Prom
AI-1058,Paracetamol Drop 100 mg/ml,Pain Relief & Inflammation,Bottle/Liquid,Paracetamol,Infa
AI-1059,Paratusin 294,General Medicine,Other,Paratusin,"Parase,"
AI-1060,Paratusin 577 mg tab,General Medicine,Tablet,Paratusin,"Parase,"
AI-1061,Paxus 100 mg/via,Injectables & Hospital Care,Vial/Injection,Paxus,Kalb
AI-1062,Paxus TM 30 mg/vial,Injectables & Hospital Care,Vial/Injection,Paxus,Kalb
AI-1063,Pegasys 135 mcg,Medical Supplies & Devices,Syrup,Pegasys,Roch
AI-1064,Pegasys 180 mcg,Medical Supplies & Devices,Syrup,Pegasys,Roch
AI-1065,PegIntron 100 mcg/0.,Medical Supplies & Devices,Syrup,Pegintron,Sche
AI-1066,PegIntron 50 mcg/0.7,Medical Supplies & Devices,Syrup,Pegintron,Sche
AI-1067,PegIntron 80 mcg/0.7,Medical Supplies & Devices,Syrup,Pegintron,Sche
AI-1068,Pehacort 5 mg,General Medicine,Tablet,Pehacort,Phap
AI-1069,Pehamoxil 1000 mg,Antibiotics & Anti-infectives,Vial/Injection,Pehamoxil,Phap
AI-1070,Penbiotic 1000 mg,Injectables & Hospital Care,Vial/Injection,Penbiotic,Bern
AI-1071,Penemac 1000 mg/ml,Injectables & Hospital Care,Vial/Injection,Penemac,Acta
AI-1072,Perdipine 10 mg/10 ml,Injectables & Hospital Care,Vial/Injection,Perdipine,Aste
AI-1073,Persidal 1 mg,General Medicine,Tablet,Persidal,Mers
AI-1074,Persidal 2 mg,General Medicine,Tablet,Persidal,Mers
AI-1075,Pethidin 50 mg/ml,Injectables & Hospital Care,Vial/Injection,Pethidin,Kifa
AI-1076,Phaminov 24 mg/ml,Injectables & Hospital Care,Vial/Injection,Phaminov,Phap
AI-1077,Phenobiotic 125mg/5ml,General Medicine,Bottle/Liquid,Phenobiotic,Bern
AI-1078,Phenobiotic 500 mg,General Medicine,Other,Phenobiotic,Bern
AI-1079,Phenytoin 100 mg,General Medicine,Other,Phenytoin,Ikap
AI-1080,Phinev 0,Injectables & Hospital Care,Vial/Injection,Phinev,Phap
AI-1081,Phytomenadione 10 mg,General Medicine,Tablet,Phytomenadione,Phap
AI-1082,Picyn 750 mg,Injectables & Hospital Care,Vial/Injection,Picyn,Bern
AI-1083,Pionix 15 mg,General Medicine,Tablet,Pionix,Dank
AI-1084,Pionix 30 mg,General Medicine,Tablet,Pionix,Dank
AI-1085,Piracetam 3000 mg/15,Injectables & Hospital Care,Vial/Injection,Piracetam,Bern
AI-1086,Piracetam 400 mg,General Medicine,Tablet,Piracetam,Dexa
AI-1087,Pirantel 125 mg,General Medicine,Tablet,Pirantel,Yari
AI-1088,Pirantel Pamoat 250 mg,General Medicine,Tablet,Pirantel,Aptk
AI-1089,Piroxicam 10 mg,Pain Relief & Inflammation,Tablet,Piroxicam,Prom
AI-1090,Piroxicam 20 mg,Pain Relief & Inflammation,Tablet,Piroxicam,Yari
AI-1091,Placta 75 mg,General Medicine,Tablet,Placta,Acta
AI-1092,Plasbumin 20%,General Medicine,Bottle/Liquid,Plasbumin,Dipa
AI-1093,Plasbumin 20%,General Medicine,Bottle/Liquid,Plasbumin,Dipa
AI-1094,Plasbumin 25%,General Medicine,Bottle/Liquid,Plasbumin,Dipa
AI-1095,Plasbumin 5%,General Medicine,Bottle/Liquid,Plasbumin,Dipa
AI-1096,Plasbumin 5%,General Medicine,Bottle/Liquid,Plasbumin,Dipa
AI-1097,Plasmanate 5%,General Medicine,Bottle/Liquid,Plasmanate,Dipa
AI-1098,Plasmodin 525 mg,General Medicine,Tablet,Plasmodin,Ifar
AI-1099,Platosin RTUS 10 mg/vial,Injectables & Hospital Care,Vial/Injection,Platosin,Comb
AI-1100,Platosin RTUS 50 mg/vial,Injectables & Hospital Care,Vial/Injection,Platosin,Comb
AI-1101,Plavix 75 mg,General Medicine,Tablet,Plavix,Sano
AI-1102,Plavos 75 mg,General Medicine,Tablet,Plavos,Soho
AI-1103,Polydex 0,General Medicine,Other,Polydex,strip
AI-1104,Pondex 50 mg/5 ml,General Medicine,Bottle/Liquid,Pondex,Dexa
AI-1105,Pospargin 0,Injectables & Hospital Care,Vial/Injection,Pospargin,Kalb
AI-1106,Posyd RTUS 20 mg/ml,Injectables & Hospital Care,Vial/Injection,Posyd,Comb
AI-1107,Povidon Iodine lar 10%/60,General Medicine,Bottle/Liquid,Povidon,Nufa
AI-1108,Pradaxa 110 mg,General Medicine,Other,Pradaxa,Boeh
AI-1109,Pradaxa 75 mg,General Medicine,Other,Pradaxa,Boeh
AI-1110,Pravinat 10 mg,General Medicine,Tablet,Pravinat,Intr
AI-1111,Pravinat 20 mg,General Medicine,Tablet,Pravinat,Intr
AI-1112,Prenatin Plus komb,General Medicine,Tablet,Prenatin,Soho
AI-1113,Prestin 20 mg,General Medicine,Other,Prestin,Prom
AI-1114,Primakuin 15 mg,General Medicine,Tablet,Primakuin,Phap
AI-1115,Primolut N 5 mg,General Medicine,Tablet,Primolut,Bayr
AI-1116,Pritasma 4 mg,General Medicine,Tablet,Pritasma,Mola
AI-1117,Pro infark inj 40 mg/ml,Injectables & Hospital Care,Vial/Injection,Pro,Phap
AI-1118,Probenid 500 mg,General Medicine,Tablet,Probenid,Dexa
AI-1119,Procaine Penisillin-G Crystal 3 juta IU,Injectables & Hospital Care,Vial/Injection,Procaine,Meij
AI-1120,Procaine Penisillin-G Meiji 3 juta IU,Injectables & Hospital Care,Vial/Injection,Procaine,Meij
AI-1121,Profecom 100 mg,General Medicine,Other,Profecom,Comb
AI-1122,Profenid 100 mg,General Medicine,Other,Profenid,Aven
AI-1123,Profika-E 100,General Medicine,Tablet,Profika,Ikap
AI-1124,Prograf 0,General Medicine,Other,Prograf,Aste
AI-1125,Prograf 1 mg,General Medicine,Other,Prograf,Aste
AI-1126,Prohiper 10 mg,General Medicine,Tablet,Prohiper,Mers
AI-1127,Prohytens 10 mg,General Medicine,Tablet,Prohytens,Nove
AI-1128,Prohytens 2,General Medicine,Tablet,Prohytens,Nove
AI-1129,Prohytens 5 mg,General Medicine,Tablet,Prohytens,Nove
AI-1130,Pronalges 100 mg,General Medicine,Other,Pronalges,Dexa
AI-1131,Propiltiourasil 100 mg,General Medicine,Tablet,Propiltiourasil,Infa
AI-1132,Propranolol 10 mg,General Medicine,Tablet,Propranolol,Dexa
AI-1133,Propranolol 40 mg,General Medicine,Tablet,Propranolol,Dexa
AI-1134,Prosogan 30 mg/ml,Injectables & Hospital Care,Vial/Injection,Prosogan,Take
AI-1135,Prostigmin 0,Injectables & Hospital Care,Vial/Injection,Prostigmin,Tmin
AI-1136,Protofen supp 100 mg,General Medicine,Other,Protofen,Kifa
AI-1137,Pulmicort Respules 0,Injectables & Hospital Care,Vial/Injection,Pulmicort,Asca
AI-1138,Pulmicort Turbuhaler 200 mcg/pu,General Medicine,Other,Pulmicort,Asca
AI-1139,Pyderma 0,General Medicine,Other,Pyderma,tube
AI-1140,Pyrantel 125 mg,General Medicine,Tablet,Pyrantel,Phap
AI-1141,Pyrazinamide 500 mg,General Medicine,Tablet,Pyrazinamide,Infa
AI-1142,Quinin 25 %,Injectables & Hospital Care,Vial/Injection,Quinin,Kifa
AI-1143,Raclonid 5 mg/ml,Injectables & Hospital Care,Vial/Injection,Raclonid,Acta
AI-1144,Raivas 4 mg/4 ml,Injectables & Hospital Care,Vial/Injection,Raivas,Dexa
AI-1145,Ramadryl 100 ml,General Medicine,Other,Ramadryl,btl
AI-1146,Ramadryl ekspektoran 100 ml,General Medicine,Bottle/Liquid,Ramadryl,Rama
AI-1147,Ramanif 10 mg,General Medicine,Tablet,Ramanif,Rama
AI-1148,Ramatetra 500 mg,General Medicine,Other,Ramatetra,Rama
AI-1149,Ramixal 1,General Medicine,Tablet,Ramixal,Sand
AI-1150,Ramixal 10 mg,General Medicine,Tablet,Ramixal,Sand
AI-1151,Ramixal 2,General Medicine,Tablet,Ramixal,Sand
AI-1152,Ramixal 5 mg,General Medicine,Tablet,Ramixal,Sand
AI-1153,Ramolit 100 g/sach,General Medicine,Other,Ramolit,Rama
AI-1154,Ranacid Forte 100 ml,General Medicine,Bottle/Liquid,Ranacid,Rama
AI-1155,Rancus 150 mg,General Medicine,Tablet,Rancus,Mers
AI-1156,Ranitidine 150 mg,Gastrointestinal,Tablet,Ranitidine,Hexp
AI-1157,Ranitidine 50 mg/2 ml,Gastrointestinal,Vial/Injection,Ranitidine,Phap
AI-1158,Ratrim Forte 960 mg,General Medicine,Tablet,Ratrim,Rama
AI-1159,Rebetol 200 mg,General Medicine,Tablet,Rebetol,Sche
AI-1160,Recormon 2000 IU,Medical Supplies & Devices,Syrup,Recormon,Roch
AI-1161,Recovit 10 ml,Vitamins & Supplements,Other,Recovit,btl
AI-1162,Relide 2 mg,General Medicine,Tablet,Relide,Prat
AI-1163,Relide 4 mg,General Medicine,Tablet,Relide,Prat
AI-1164,Relivan 0,Injectables & Hospital Care,Vial/Injection,Relivan,Nove
AI-1165,Relox 15 mg/1,Injectables & Hospital Care,Vial/Injection,Relox,Yari
AI-1166,Remapro 50 mg,General Medicine,Tablet,Remapro,Mers
AI-1167,Rematof 100 mg,General Medicine,Tablet,Rematof,Bern
AI-1168,Renadinac 25 mg,General Medicine,Tablet,Renadinac,Prat
AI-1169,Renadinac 50 mg,General Medicine,Tablet,Renadinac,Prat
AI-1170,Requip 2 mg,General Medicine,Tablet,Requip,Glax
AI-1171,Requip 4 mg,General Medicine,Tablet,Requip,Glax
AI-1172,Requip 8 mg,General Medicine,Tablet,Requip,Glax
AI-1173,Rescovulin RTUS 50 mg/ml,Injectables & Hospital Care,Vial/Injection,Rescovulin,Comb
AI-1174,Retaphyl SR 300 mg,General Medicine,Tablet,Retaphyl,Kifa
AI-1175,Rexavin 500 mg,General Medicine,Tablet,Rexavin,Ifar
AI-1176,Rexta 50 mg,Injectables & Hospital Care,Vial/Injection,Rexta,Kalb
AI-1177,Rhemacox 15 mg,General Medicine,Tablet,Rhemacox,Acta
AI-1178,Rhinofed 70 mg,General Medicine,Tablet,Rhinofed,Dexa
AI-1179,Rifampicin 300 mg,Injectables & Hospital Care,Tablet,Rifampicin,Infa
AI-1180,Rifampicin 450 mg,Injectables & Hospital Care,Tablet,Rifampicin,Land
AI-1181,Rifampicin 600 mg,Injectables & Hospital Care,Tablet,Rifampicin,Bern
AI-1182,Rifastar 900 mg,General Medicine,Other,Rifastar,","
AI-1183,Rimactazid 450/300 750 mg,General Medicine,Other,Rimactazid,kaplet
AI-1184,Rimactazid Paed 125 mg,General Medicine,Tablet,Rimactazid,Sand
AI-1185,Rimcure Paed 275 mg,General Medicine,Other,Rimcure,tab
AI-1186,Rimstar 4 FDC 900 mg,General Medicine,Other,Rimstar,","
AI-1187,Ringer Laktat 500 ml,General Medicine,Bottle/Liquid,Ringer,Wida
AI-1188,Rinofer 100 mg/5 m,Injectables & Hospital Care,Vial/Injection,Rinofer,Yari
AI-1189,Risperdal 1 mg,General Medicine,Tablet,Risperdal,John
AI-1190,Risperdal 2 mg,General Medicine,Tablet,Risperdal,John
AI-1191,Rivanol 0,General Medicine,Bottle/Liquid,Rivanol,Mola
AI-1192,Rofacin 500 mg,General Medicine,Tablet,Rofacin,Cors
AI-1193,Ronem 500 mg/ml,Injectables & Hospital Care,Vial/Injection,Ronem,Prat
AI-1194,Rosadryl 60 ml,General Medicine,Bottle/Liquid,Rosadryl,Graf
AI-1195,Rulid 150 mg,General Medicine,Tablet,Rulid,Aven
AI-1196,Salbutamol 100 ml,Respiratory & Allergy,Bottle/Liquid,Salbutamol,Infa
AI-1197,Salbutamol 2 mg,Respiratory & Allergy,Tablet,Salbutamol,Infa
AI-1198,Salbutamol 2 mg/ml-SALAH,Respiratory & Allergy,Bottle/Liquid,Salbutamol,Infa
AI-1199,Salbutamol 4 mg,Respiratory & Allergy,Tablet,Salbutamol,Infa
AI-1200,Salep 2-4 30 gram,Dermatology & Topical,Ointment/Topical,Salep,Mari
AI-1201,Salofalk 250 mg,General Medicine,Tablet,Salofalk,Dava
AI-1202,Sandepril 50 mg,General Medicine,Tablet,Sandepril,P-Acta
AI-1203,Sandimun Neoral 100 mg,General Medicine,Other,Sandimun,Nova
AI-1204,Sandimun Neoral 25 mg,General Medicine,Other,Sandimun,Nova
AI-1205,Sanmol 500 mg,General Medicine,Tablet,Sanmol,Sanb
AI-1206,Sansulin N 100 IU/ml,General Medicine,Other,Sansulin,Sanb
AI-1207,Sansulin N 3ml,General Medicine,Other,Sansulin,Sanb
AI-1208,Sansulin R 100 IU/ml,General Medicine,Other,Sansulin,Sanb
AI-1209,Sansulin R 3ml,General Medicine,Other,Sansulin,Sanb
AI-1210,Scabimite 5%,General Medicine,Other,Scabimite,Gale
AI-1211,Scanaflam 25 mg,General Medicine,Tablet,Scanaflam,Temp
AI-1212,Scanaflam 50 mg,General Medicine,Tablet,Scanaflam,Temp
AI-1213,Scanderma 0,General Medicine,Other,Scanderma,tube
AI-1214,Scaneuron 300,Vitamins & Supplements,Other,Scaneuron,Tab
AI-1215,Scanmecob 500 mcg,General Medicine,Other,Scanmecob,Temp
AI-1216,Scanovir 400 mg,General Medicine,Tablet,Scanovir,Temp
AI-1217,Scantaren gel 1%,Dermatology & Topical,Cream/Topical,Scantaren,Temp
AI-1218,Scantipid 300 mg,General Medicine,Tablet,Scantipid,Temp
AI-1219,Scantoma 375 mg,General Medicine,Tablet,Scantoma,Temp
AI-1220,Scobutrin 10 mg,General Medicine,Tablet,Scobutrin,Land
AI-1221,Scopma 10 mg,General Medicine,Tablet,Scopma,Ifar
AI-1222,Sebivo 600 mg,General Medicine,Tablet,Sebivo,Nova
AI-1223,Sedacum 15 mg/3 ml,Injectables & Hospital Care,Vial/Injection,Sedacum,Dexa
AI-1224,Sefadroksil 125 mg/5ml,General Medicine,Bottle/Liquid,Sefadroksil,Bern
AI-1225,Sefadroksil 500 mg,General Medicine,Other,Sefadroksil,Bern
AI-1226,Sefotaksim 1000 mg/vi,Injectables & Hospital Care,Vial/Injection,Sefotaksim,Bern
AI-1227,Seftriaxone 1000 mg/vi,Injectables & Hospital Care,Vial/Injection,Seftriaxone,Bern
AI-1228,Seltifort Kids komb,General Medicine,Other,Seltifort,btl
AI-1229,Selvim 10 mg,General Medicine,Tablet,Selvim,Ifar
AI-1230,Septika lar 10%/60,General Medicine,Bottle/Liquid,Septika,Ikap
AI-1231,Seretide 50 mcg/puf-SALAH,General Medicine,Tablet,Seretide,Glax
AI-1232,Seretide Diskus 100 mcg/pu,General Medicine,Tablet,Seretide,Glax
AI-1233,Seretide Diskus 250 mcg/pu,General Medicine,Tablet,Seretide,Glax
AI-1234,Seretide Diskus 500 mcg/pu,General Medicine,Tablet,Seretide,Glax
AI-1235,Seretide Inhaler 50 mcg/puf,General Medicine,Other,Seretide,Glax
AI-1236,Seroquel 200 mg,General Medicine,Tablet,Seroquel,Asca
AI-1237,Sesden 30 mg,General Medicine,Other,Sesden,Tana
AI-1238,Sianokobalamin 50 mcg,General Medicine,Tablet,Sianokobalamin,Kifa
AI-1239,Sibital 200 mg/2 m,Injectables & Hospital Care,Vial/Injection,Sibital,Mers
AI-1240,Sifrol ER 375 mcg,General Medicine,Tablet,Sifrol,Boeh
AI-1241,Sifrol ER 750 mcg,General Medicine,Tablet,Sifrol,Boeh
AI-1242,Simacron 150 mg,General Medicine,Tablet,Simacron,Temp
AI-1243,Simarc 2 mg,General Medicine,Tablet,Simarc,Prat
AI-1244,Simikan 250 mg,Injectables & Hospital Care,Vial/Injection,Simikan,Bern
AI-1245,Simikan 500 mg,Injectables & Hospital Care,Vial/Injection,Simikan,Bern
AI-1246,Simvastatin 10 mg,Cardiovascular,Tablet,Simvastatin,Hexp
AI-1247,Simvastatin 20 mg,Cardiovascular,Tablet,Simvastatin,Kifa
AI-1248,Sindaxel 100 mg/via,Injectables & Hospital Care,Vial/Injection,Sindaxel,Acta
AI-1249,Sindaxel 30 mg/vial,Injectables & Hospital Care,Vial/Injection,Sindaxel,Acta
AI-1250,Sinoric 100 mg,General Medicine,Tablet,Sinoric,Mers
AI-1251,Sinoric 300 mg,General Medicine,Tablet,Sinoric,Mers
AI-1252,Sipentin 300 mg,General Medicine,Other,Sipentin,Mers
AI-1253,Siprofloksasin 500 mg,General Medicine,Tablet,Siprofloksasin,Infa
AI-1254,Siramid 500 mg,General Medicine,Tablet,Siramid,Mers
AI-1255,Sisoprim 480 mg,General Medicine,Tablet,Sisoprim,Prom
AI-1256,Sisoprim Forte 960 mg,General Medicine,Tablet,Sisoprim,Prom
AI-1257,Sitro 150 mg,General Medicine,Tablet,Sitro,Intr
AI-1258,Sitro 300 mg,General Medicine,Tablet,Sitro,Intr
AI-1259,Sod. Chlorida (NaCl) 0,General Medicine,Other,Sod,btl
AI-1260,Sod. Chlorida (NaCl) 0,General Medicine,Other,Sod,btl
AI-1261,Sofradex 5 ml,General Medicine,Bottle/Liquid,Sofradex,Aven
AI-1262,Sofradex 8 ml,General Medicine,Bottle/Liquid,Sofradex,Aven
AI-1263,Sofra-Tulle 1% 10x10,General Medicine,Other,Sofra,Aven
AI-1264,Sohobion 5000 mcg,General Medicine,Tablet,Sohobion,Soho
AI-1265,Sohobion Injeksi 3 ml,Injectables & Hospital Care,Vial/Injection,Sohobion,Soho
AI-1266,Solosa 1 mg,General Medicine,Tablet,Solosa,Sano
AI-1267,Solosa 2 mg,General Medicine,Tablet,Solosa,Sano
AI-1268,Solosa 3 mg,General Medicine,Tablet,Solosa,Sano
AI-1269,Solosa 4 mg,General Medicine,Tablet,Solosa,Sano
AI-1270,Solumedrol 125 mg/2ml,Injectables & Hospital Care,Vial/Injection,Solumedrol,Pfiz
AI-1271,Somatostatin UCB 250 mcg/ml,Injectables & Hospital Care,Vial/Injection,Somatostatin,Dexa
AI-1272,Sopralan 30 mg,General Medicine,Other,Sopralan,Mers
AI-1273,Sorov 500 mg,General Medicine,Tablet,Sorov,Soho
AI-1274,Sotatic 10 mg,General Medicine,Tablet,Sotatic,Prat
AI-1275,Sotatic 5 mg/ml,Injectables & Hospital Care,Vial/Injection,Sotatic,Prat
AI-1276,Spashi Plus 510 mg,General Medicine,Tablet,Spashi,Glob
AI-1277,Spasmacine 510 mg,General Medicine,Tablet,Spasmacine,Kalb
AI-1278,Spasminal 535 mg,General Medicine,Tablet,Spasminal,Hexp
AI-1279,Spiramisin 500 mg,General Medicine,Tablet,Spiramisin,Infa
AI-1280,Spiriva Combo 18 mcg,General Medicine,Other,Spiriva,Boeh
AI-1281,Spiriva Refill 18 mcg,General Medicine,Other,Spiriva,Boeh
AI-1282,Spirola 100 mg,General Medicine,Tablet,Spirola,Dank
AI-1283,Spironolacton 100 mg,General Medicine,Tablet,Spironolacton,Dexa
AI-1284,Spironolacton 25 mg,General Medicine,Tablet,Spironolacton,Dexa
AI-1285,Spironolakton 100 mg-SALAH,General Medicine,Tablet,Spironolakton,Otto
AI-1286,Spironolakton 25 mg-SALAH,General Medicine,Tablet,Spironolakton,Otto
AI-1287,Spironolakton 25mg+thiabutazide 27,General Medicine,Tablet,Spironolakton,Aptk
AI-1288,Sporrex 2%,General Medicine,Other,Sporrex,Temp
AI-1289,Stalevo 325 mg,General Medicine,Tablet,Stalevo,Nova
AI-1290,Starfolat 1 mg,General Medicine,Tablet,Starfolat,Dexa
AI-1291,Starquin 2 mg/ml,General Medicine,Bottle/Liquid,Starquin,Dexa
AI-1292,Stelazine 5 mg,General Medicine,Tablet,Stelazine,Phar
AI-1293,Stelosi 5 mg,General Medicine,Tablet,Stelosi,Mers
AI-1294,Stesolid 10 mg/2 ml inj,Injectables & Hospital Care,Vial/Injection,Stesolid,Acta
AI-1295,Stesolid Rectal 10mg/2,General Medicine,Other,Stesolid,Acta
AI-1296,Stesolid Rectal 5 mg/2,General Medicine,Other,Stesolid,Acta
AI-1297,Stomacer 40 mg,Injectables & Hospital Care,Vial/Injection,Stomacer,Sand
AI-1298,Stomach 350 mg,General Medicine,Tablet,Stomach,Muti
AI-1299,Stomach 60 ml,General Medicine,Bottle/Liquid,Stomach,Muti
AI-1300,Streptase 1,Injectables & Hospital Care,Vial/Injection,Streptase,Dexa
AI-1301,Streptomycin Meiji 1000 mg,Injectables & Hospital Care,Vial/Injection,Streptomycin,Meij
AI-1302,Streptomycin Meiji 5000 mg,Injectables & Hospital Care,Vial/Injection,Streptomycin,Meij
AI-1303,Sufenta 5 mcg/ml,Injectables & Hospital Care,Vial/Injection,Sufenta,Kifa
AI-1304,Sulfitis 500 mg,General Medicine,Tablet,Sulfitis,Prat
AI-1305,Sultrimmix 240 mg/5ml,General Medicine,Bottle/Liquid,Sultrimmix,Bern
AI-1306,Sultrimmix 480 mg,General Medicine,Tablet,Sultrimmix,Bern
AI-1307,Sultrimmix 60 ml,General Medicine,Bottle/Liquid,Sultrimmix,Bern
AI-1308,Sultrimmix DS 960 mg,General Medicine,Tablet,Sultrimmix,Bern
AI-1309,Surbex T 650,General Medicine,Tablet,Surbex,Abbt
AI-1310,Survanta 25 mg/ml,Injectables & Hospital Care,Vial/Injection,Survanta,Abbt
AI-1311,Symbicort 160/4.5mcg,General Medicine,Tablet,Symbicort,Asca
AI-1312,Symbicort 80/4.5mcg,General Medicine,Tablet,Symbicort,Asca
AI-1313,Taceedo 20 mg,Injectables & Hospital Care,Vial/Injection,Taceedo,Kifa
AI-1314,Taceedo 80 mg,Injectables & Hospital Care,Vial/Injection,Taceedo,Kifa
AI-1315,Talk Salicyl 2%,General Medicine,Other,Talk,Ikap
AI-1316,Tamofen 20 mg,General Medicine,Tablet,Tamofen,Kalb
AI-1317,Tanapress 10 mg,General Medicine,Tablet,Tanapress,Tana
AI-1318,Tanapress 5 mg,General Medicine,Tablet,Tanapress,Tana
AI-1319,Tapros 1,Injectables & Hospital Care,Vial/Injection,Tapros,Take
AI-1320,Tapros 3,Injectables & Hospital Care,Vial/Injection,Tapros,Take
AI-1321,Tapros 3M 11,Injectables & Hospital Care,Vial/Injection,Tapros,Take
AI-1322,Targocid 400 mg/via,Injectables & Hospital Care,Vial/Injection,Targocid,Aven
AI-1323,Tasigna 200 mg,General Medicine,Tablet,Tasigna,Nova
AI-1324,Taxotere 20 mg,Injectables & Hospital Care,Vial/Injection,Taxotere,Aven
AI-1325,Taxotere 80 mg,Injectables & Hospital Care,Vial/Injection,Taxotere,Aven
AI-1326,Tenapril 2,General Medicine,Tablet,Tenapril,Dexa
AI-1327,Tenapril 5 mg,General Medicine,Tablet,Tenapril,Dexa
AI-1328,Tensilo 10 mg,Injectables & Hospital Care,Vial/Injection,Tensilo,Prat
AI-1329,Tensinorm 100 mg,General Medicine,Tablet,Tensinorm,Mdkn
AI-1330,Tensinorm 50 mg,General Medicine,Tablet,Tensinorm,Mdkn
AI-1331,Tensiphar 10 mg,General Medicine,Tablet,Tensiphar,Acta
AI-1332,Tensiphar 5 mg,General Medicine,Tablet,Tensiphar,Acta
AI-1333,Teofilin 150 mg,General Medicine,Tablet,Teofilin,Aptk
AI-1334,Teradi 600 mg,General Medicine,Tablet,Teradi,Glob
AI-1335,Terasma 1,General Medicine,Bottle/Liquid,Terasma,Mdkn
AI-1336,Terasma 2,General Medicine,Tablet,Terasma,Mdkn
AI-1337,Terramycin 500 mg/ml,Injectables & Hospital Care,Vial/Injection,Terramycin,Pfiz
AI-1338,Tetagam 250 IU/amp,Injectables & Hospital Care,Vial/Injection,Tetagam,Dexa
AI-1339,Tetracycline 500 mg,General Medicine,Other,Tetracycline,Phap
AI-1340,Tetrasiklin 250 mg,General Medicine,Other,Tetrasiklin,Bern
AI-1341,Tetraspan 6%,General Medicine,Bottle/Liquid,Tetraspan,Bbmi
AI-1342,Tevox 500 mg/100,General Medicine,Bottle/Liquid,Tevox,Acta
AI-1343,Thiamin (Vit B1) 50 mg,Vitamins & Supplements,Tablet,Thiamin,Mari
AI-1344,Thramed 50 mg,General Medicine,Other,Thramed,Prom
AI-1345,Thyrozol 5 mg,General Medicine,Tablet,Thyrozol,Merc
AI-1346,Tiaryt 150 mg/3 m,Injectables & Hospital Care,Vial/Injection,Tiaryt,Prat
AI-1347,Tiaryt 200 mg,General Medicine,Tablet,Tiaryt,Prat
AI-1348,Tibigon 500 mg,General Medicine,Tablet,Tibigon,Hexp
AI-1349,Tibitol 250 mg,General Medicine,Tablet,Tibitol,Mers
AI-1350,Tibitol 500 mg,General Medicine,Tablet,Tibitol,Mers
